bus_categories,grp_cat_counts,grp_cat_avg_stars
-Mexican-Restaurants,277,3.55234657
-Chinese-Restaurants,110,3.631818182
-Pizza-Restaurants,104,3.600961538
-American (Traditional)-Restaurants,95,3.294736842
-Food-Coffee & Tea,81,3.913580247
-American (New)-Restaurants,80,3.7125
-Restaurants-Italian,76,3.651315789
-Hotels & Travel-Event Planning & Services-Hotels,73,3.547945205
-Food-Ice Cream & Frozen Yogurt,64,3.953125
-Sandwiches-Restaurants,61,3.836065574
-Burgers-Restaurants,61,3.549180328
-Thai-Restaurants,55,3.809090909
-Breakfast & Brunch-Restaurants,44,3.556818182
-Italian-Pizza-Restaurants,44,3.863636364
-Food-Grocery,40,3.7375
-Arts & Entertainment-Cinema,33,3.666666667
-Barbeque-Restaurants,30,3.716666667
-Vietnamese-Restaurants,30,3.666666667
-Steakhouses-Restaurants,29,3.706896552
-Greek-Mediterranean-Restaurants,28,3.785714286
-Sushi Bars-Japanese-Restaurants,28,3.642857143
-Tex-Mex-Restaurants,26,3.75
-Bakeries-Food,24,3.979166667
-Sushi Bars-Restaurants,23,3.630434783
-Beauty & Spas-Nail Salons,22,3.727272727
-Japanese-Restaurants,22,3.545454545
-Department Stores-Fashion-Shopping,20,3.725
-Delis-Sandwiches-Restaurants,20,3.625
-Breakfast & Brunch-American (Traditional)-Restaurants,20,3.575
-Asian Fusion-Restaurants,18,3.5
-Active Life-Gyms-Trainers-Fitness & Instruction,18,3.25
-Food-Health Markets-Grocery-Specialty Food,17,4.029411765
-Restaurants-Pizza-Italian,17,3.735294118
-Bars-Nightlife-Lounges,17,3.441176471
-Buffets-Chinese-Restaurants,16,3.15625
-Active Life-Parks,16,4.1875
"-Food-Beer, Wine & Spirits",16,4.1875
-Food-Donuts,15,3.6
-Bakeries-Food-Sandwiches-Restaurants,15,3.766666667
-Seafood-Restaurants,15,3.166666667
-Buffets-Restaurants,15,3.3
-Hot Dogs-Restaurants,15,3.6
-Arts & Entertainment-Stadiums & Arenas,15,4
-Delis-Restaurants,14,3.607142857
-Diners-Restaurants,14,3.214285714
-Fast Food-Restaurants,14,3.928571429
-Greek-Restaurants,13,3.653846154
-Local Flavor,13,3.884615385
-Shopping Centers-Shopping,13,3.423076923
-Bars-Restaurants-American (Traditional)-Sports Bars-Nightlife,13,3.153846154
-Bars-Nightlife,12,3.5
-Bars-Sports Bars-Nightlife,12,3.125
-Burgers-Fast Food-Restaurants,12,3.875
-Food-Bagels-Delis-Restaurants,12,3.291666667
-Car Wash-Automotive,11,2.818181818
-Dive Bars-Bars-Nightlife,11,3.863636364
-Bars-American (New)-Nightlife-Restaurants,11,3.772727273
-Latin American-Restaurants,11,4.045454545
-Food-Grocery-Shopping-Drugstores,10,3.25
-Shopping-Cosmetics & Beauty Supply-Beauty & Spas,10,3.5
-Wine Bars-Bars-American (New)-Nightlife-Restaurants,10,3.9
"-Food-Beer, Wine & Spirits-Grocery",10,4.2
-Hawaiian-Restaurants,9,3.444444444
-Restaurants,9,3.333333333
-Vegetarian-American (New)-Mediterranean-Restaurants,9,3.944444444
-Food-Food Delivery Services-Delis-Sandwiches-Restaurants,9,3.5
-Department Stores-Grocery-Fashion-Shopping-Food-Mobile Phones,9,2.5
-Bars-American (Traditional)-Nightlife-Restaurants,8,3.5
-Active Life-Yoga-Fitness & Instruction,8,4.4375
-Tires-Automotive,8,4
-Bars-American (Traditional)-Sports Bars-Nightlife-Chicken Wings-Restaurants,8,2.9375
-Breakfast & Brunch-Diners-Restaurants,8,3.75
-Middle Eastern-Restaurants,8,3.9375
MISSING,8,3.375
-Arts & Entertainment-Nightlife-Music Venues,8,3.75
-Day Spas-Beauty & Spas,8,4
-Active Life-Dog Parks-Parks,8,3.8125
-Bars-American (New)-Nightlife-Lounges-Restaurants,8,3.75
-Nightlife-Bars-American (Traditional)-Sports Bars-Restaurants,8,3.25
-Active Life-Golf,7,3.785714286
-Asian Fusion-Mongolian-Restaurants,7,3.714285714
-Auto Repair-Automotive,7,4.357142857
-Food-Ice Cream & Frozen Yogurt-Desserts,7,4.214285714
-Burgers-American (Traditional)-Fast Food-Restaurants,7,3.214285714
-Bars-Mexican-Nightlife-Restaurants,7,3.428571429
-Hotels & Travel-Event Planning & Services-Venues & Event Spaces-Hotels,7,3.071428571
-Caribbean-Restaurants,7,3.928571429
"-Books, Mags, Music & Video-Shopping-Bookstores",7,3.857142857
-Pakistani-Indian-Buffets-Restaurants,7,3.5
-Arts & Entertainment-Festivals,7,3.5
-Arts & Crafts-Shopping,7,3.428571429
-Food-Ethnic Food-Grocery-Specialty Food,7,4.142857143
-Breakfast & Brunch-Sandwiches-Restaurants,7,3.785714286
"-Music & DVDs-Books, Mags, Music & Video-Shopping",6,4.25
-Food-Desserts-American (Traditional)-American (New)-Restaurants,6,3.5
-Korean-Japanese-Restaurants,6,3.416666667
-Cajun/Creole-Restaurants,6,3.833333333
-Hotels & Travel-Airlines-Transportation,6,2.75
-Indian-Buffets-Restaurants,6,3.916666667
-French-Restaurants,6,3.916666667
-Day Spas-Hotels & Travel-Beauty & Spas-Event Planning & Services-Hotels,6,3.916666667
-Shopping-Drugstores,6,3.166666667
-Food-Farmers Market,6,3.833333333
-Shopping-Antiques,6,3.916666667
-Active Life-Gyms-Fitness & Instruction,6,4
-Seafood-Steakhouses-Restaurants,6,3.75
-Gluten-Free-Asian Fusion-Chinese-Restaurants,6,3.416666667
-Seafood-American (Traditional)-Restaurants,6,3.416666667
-Wine Bars-Bars-Restaurants-Nightlife-Italian,6,4.083333333
-Indian-Restaurants,6,3.666666667
-Food-Gelato,6,4.416666667
-Food-Desserts,6,4
-Museums-Arts & Entertainment,6,4.083333333
-Hardware Stores-Shopping-Home & Garden,5,3.7
-Food-Coffee & Tea-Sandwiches-Restaurants,5,3.8
-Libraries-Public Services & Government,5,4.5
-Asian Fusion-Chinese-Restaurants,5,3.3
-Local Services-Dry Cleaning & Laundry,5,4.3
-Shopping-Wholesale Stores,5,4.1
-Nightlife-Dance Clubs,5,2.8
-Mexican-Tex-Mex-Restaurants,5,3.7
-Arts & Entertainment-Performing Arts,5,4.5
-Skin Care-Day Spas-Massage-Beauty & Spas,5,3.7
-Bars-American (Traditional)-Burgers-Nightlife-Sports Bars-Restaurants,5,3.5
-Korean-Restaurants,5,3.5
-Bars-Gay Bars-Nightlife,5,3.4
"-Used, Vintage & Consignment-Fashion-Shopping",5,3.9
-Bars-Steakhouses-Nightlife-Restaurants,5,3.6
-Food-Bagels,5,3.6
-Sporting Goods-Bikes-Shopping,5,4.3
-Food-Specialty Food-Candy Stores,4,4.375
-Breakfast & Brunch-American (New)-Restaurants,4,4
-Barbers-Beauty & Spas,4,4.375
-Active Life-Bowling,4,3.875
-Buffets-Salad-Restaurants,4,3.625
-Food-Bakeries-Delis-Bagels-Restaurants,4,3.375
-Hair Salons-Beauty & Spas,4,3.875
-Bars-Nightlife-Restaurants,4,3.75
-Food-Desserts-Ice Cream & Frozen Yogurt,4,4.125
-Wine Bars-Bars-Steakhouses-Nightlife-Restaurants,4,4.25
-Seafood-Restaurants-Italian,4,3.5
-Delis-Fast Food-Sandwiches-Restaurants,4,4
-Fast Food-Mexican-Restaurants,4,3.875
-Pizza-Sandwiches-Restaurants,4,3.875
-Pakistani-Indian-Restaurants,4,3.375
-Veterinarians-Pets,4,4.5
-Pubs-Bars-American (Traditional)-Nightlife-Restaurants,4,3.875
-Health & Medical-Hospitals,4,3.875
-American (New)-French-Restaurants,4,3.625
-Bars-American (New)-Restaurants-Sports Bars-Nightlife,4,3.25
-Auto Repair-Automotive-Car Dealers,4,3.75
-Pets-Pet Stores,4,4.625
-Women's Clothing-Men's Clothing-Fashion-Shopping-Accessories,4,3.5
-Health & Medical-Dentists-General Dentistry,4,4.375
-Building Supplies-Home Services,4,3.375
-Women's Clothing-Men's Clothing-Fashion-Shopping,4,3.875
-Steakhouses-Sushi Bars-Japanese-Restaurants,4,3.375
-Food,4,3.625
-Shopping,4,3.875
-German-Restaurants,4,3.75
-Vietnamese-Chinese-Restaurants,4,3.75
-American (Traditional)-American (New)-Restaurants,4,3.625
-Pubs-Bars-Nightlife-Irish-Restaurants,4,3.75
-Day Spas-Massage-Beauty & Spas,4,4.125
-Burgers-American (Traditional)-Restaurants,4,3.625
-Food-Juice Bars & Smoothies,3,4.333333333
-Nightlife-Bars-Pizza-Sports Bars-Restaurants,3,3.333333333
-Soup-Vegetarian-Buffets-Restaurants,3,3.5
-Food-American (New)-Breweries-Restaurants,3,3.666666667
-Wine Bars-Bars-Nightlife,3,3.833333333
-American (Traditional)-Fast Food-Restaurants,3,3.666666667
-Food-Breweries,3,4
-Burgers-Hot Dogs-Restaurants,3,3.666666667
-Burgers-Breakfast & Brunch-American (Traditional)-Restaurants,3,3.833333333
-Seafood-Fish & Chips-Restaurants,3,3.166666667
-American (New)-Sandwiches-Restaurants,3,3.666666667
-Food-Breweries-American (New)-Restaurants,3,3.666666667
-Food-Donuts-Coffee & Tea,3,3.666666667
-Sporting Goods-Shopping,3,3.5
-Fondue-Restaurants,3,3.666666667
-Car Wash-Automotive-Auto Detailing,3,4.166666667
-Bars-Gay Bars-Nightlife-Dance Clubs,3,3.166666667
-Food-Ice Cream & Frozen Yogurt-Coffee & Tea,3,4.333333333
-Food-Coffee & Tea-Breakfast & Brunch-Restaurants,3,4.333333333
-American (Traditional)-Steakhouses-Seafood-Restaurants,3,3
-Arts & Crafts-Shopping-Fabric Stores,3,3.333333333
-Bakeries-Food-American (Traditional)-Restaurants,3,3
-Burgers-Hot Dogs-American (New)-Restaurants,3,4
-Mediterranean-Restaurants,3,3.166666667
-Arts & Entertainment-Art Galleries-Shopping,3,4.5
-Arts & Entertainment-American (Traditional)-Arcades-Restaurants,3,3.333333333
-Wine Bars-Bars-Pizza-Nightlife-Restaurants,3,3.833333333
-Active Life,3,4.333333333
-Filipino-Restaurants,3,3.666666667
-Bakeries-Food-Breakfast & Brunch-Restaurants,3,4
-Bars-Nightlife-Dance Clubs,3,3.166666667
-Active Life-Amusement Parks,3,3.5
-Seafood-Mexican-Restaurants,3,4.166666667
-American (Traditional)-Mexican-Restaurants,3,2.833333333
-American (Traditional)-Barbeque-Restaurants,3,4
-American (Traditional)-Sandwiches-Restaurants,3,3.5
-Food-Burgers-Ice Cream & Frozen Yogurt-Restaurants,3,4
-Active Life-Lakes,3,4.333333333
-Pubs-Bars-Nightlife-British-Restaurants,3,3.833333333
-American (Traditional)-Steakhouses-Restaurants,3,3.666666667
-Chicken Wings-Restaurants,3,3.5
-Fashion-Shopping-Jewelry-Accessories,3,4.333333333
-Nightlife-Restaurants,3,4
-Dive Bars-Bars-Mexican-Nightlife-Restaurants,3,3.166666667
-Steakhouses-Barbeque-Restaurants,3,3.5
-Bars-Dance Clubs-Nightlife-Lounges,3,3.166666667
-Food-Desserts-Bakeries,3,4
-Mexican-Nightlife-Restaurants,3,3.333333333
-Hotels & Travel-Car Rental,3,2.833333333
-Food-Breweries-American (New)-Pizza-Restaurants,3,3.666666667
-Art Supplies-Shopping-Arts & Crafts,3,3.666666667
-Nightlife-Bars-American (New)-Sports Bars-Restaurants,3,3.166666667
-Cuban-Restaurants,3,3.666666667
-Bakeries-Food-Breakfast & Brunch-Sandwiches-Restaurants,3,3.833333333
-Fashion-Shopping-Shoe Stores,3,4.166666667
-Burgers-American (Traditional)-Hot Dogs-Restaurants,3,3.666666667
-Active Life-Amusement Parks-Nightlife-Bowling,3,3
-American (Traditional)-Tex-Mex-Restaurants,3,3.833333333
-Active Life-Hiking,3,4.666666667
-Cheesesteaks-Sandwiches-Restaurants,3,4
-Food-Grocery-Shopping-Wholesale Stores,3,4.166666667
-Steakhouses-American (Traditional)-Restaurants,3,3.833333333
-Breakfast & Brunch-Cafes-Restaurants,3,3.833333333
-Shopping Centers-Fashion-Shopping-Department Stores,2,3
-Steakhouses-Sushi Bars-Restaurants,2,4
-American (Traditional)-Pizza-Restaurants,2,4.25
-Active Life-Nightlife-Bowling,2,3.75
-Optometrists-Health & Medical,2,4.5
-Nightlife-Bars-Sports Bars-Restaurants,2,3.25
-Bars-Arts & Entertainment-Nightlife-Music Venues,2,4
-Post Offices-Public Services & Government,2,4
-Arts & Entertainment-Performing Arts-Nightlife-Music Venues,2,3.75
-Breakfast & Brunch-American (Traditional)-Diners-Restaurants,2,3.25
-Bakeries-Food-Filipino-Restaurants,2,3.5
-Doctors-Health & Medical-Obstetricians & Gynecologists,2,2.75
-Persian/Iranian-Restaurants,2,4
-Food-Ice Cream & Frozen Yogurt-Creperies-Restaurants,2,4.25
-Cheesesteaks-Pizza-Restaurants,2,3.25
-Arts & Entertainment-Professional Sports Teams,2,4
-Sporting Goods-Fashion-Shopping-Sports Wear,2,4.75
-Auto Repair-Automotive-Tires-Auto Parts & Supplies,2,3
-Fast Food-Chicken Wings-Restaurants,2,4
-Southern-Barbeque-Restaurants,2,3.5
"-Food-Wine Bars-Bars-Nightlife-Beer, Wine & Spirits",2,4.25
-American (Traditional)-Buffets-Restaurants,2,3.25
-Seafood-Chinese-Restaurants,2,3.75
-American (Traditional)-Chinese-Restaurants,2,3.5
-Restaurants-Turkish,2,3.5
-Day Spas-Beauty & Spas-Nail Salons,2,3.75
-Burgers-Mexican-Restaurants,2,3.5
-Resorts-Hotels & Travel,2,3
-Asian Fusion-Buffets-Chinese-Restaurants,2,3.5
-Hardware Stores-Building Supplies-Shopping-Home Services-Home & Garden,2,3.75
-Hair Removal-Beauty & Spas,2,4.25
-Public Services & Government,2,2
-Pet Services-Pet Stores-Pets,2,4
-Shopping-Automotive-Computers-Home & Garden-Car Stereo Installation-Appliances,2,2.5
-Arts & Entertainment-Casinos,2,2.75
-Japanese-Chinese-Restaurants,2,3.5
-American (New)-Mexican-Restaurants,2,3.5
-Bars-Music Venues-Arts & Entertainment-Pubs-Nightlife-Irish-Restaurants,2,3.75
-Vegetarian-American (Traditional)-Restaurants,2,3.75
-Soul Food-Restaurants,2,3.5
-Local Services-Computers-Shopping-IT Services & Computer Repair,2,4.25
-Active Life-Sporting Goods-Bikes-Shopping-Bike Rentals,2,3.5
-Active Life-Resorts-Golf-Hotels & Travel,2,3.75
-Bars-Dive Bars-Burgers-Nightlife-Sports Bars-Restaurants,2,3.75
-Bakeries-Food-Desserts,2,4.25
-Fast Food-Sandwiches-Restaurants,2,3
-Asian Fusion-Hawaiian-Restaurants,2,4
-Soup-American (New)-Sandwiches-Restaurants,2,3.75
-Automotive-Car Dealers,2,3.75
-Hawaiian-Barbeque-Restaurants,2,3.25
-Dive Bars-Bars-Nightlife-Restaurants,2,3.5
-Dive Bars-Bars-American (Traditional)-Nightlife-Restaurants,2,3.5
-Colleges & Universities-Education,2,3.5
-Hotels & Travel-Resorts-Event Planning & Services-Hotels,2,4.25
-Bars-Nightlife-Karaoke,2,3.25
-Italian-Pizza-Gluten-Free-Restaurants,2,3.25
-Delis-Pizza-Restaurants,2,4.5
"-Food-Beer, Wine & Spirits-Bars-Nightlife",2,3.5
-Shopping-Drugstores-Beauty & Spas-Food-Convenience Stores-Cosmetics & Beauty Supply,2,3.75
"-Women's Clothing-Used, Vintage & Consignment-Fashion-Shopping-Men's Clothing",2,3
-Seafood-Cajun/Creole-Restaurants,2,4.5
-Women's Clothing-Fashion-Shopping-Accessories,2,4.5
-Burgers-American (Traditional)-Sandwiches-Restaurants,2,3.5
-Arts & Entertainment,2,4.25
-Museums-Arts & Entertainment-Performing Arts,2,4
-Home & Garden-Shopping-Home Decor-Antiques,2,3.75
-Food-Restaurants-Italian,2,4
-Burgers-Sandwiches-Restaurants,2,3.5
"-Books, Mags, Music & Video-Musical Instruments & Teachers-Shopping",2,4
-Pet Services-Veterinarians-Pet Boarding/Pet Sitting-Pets,2,4.25
-Sporting Goods-Fashion-Shopping-Shoe Stores-Sports Wear,2,3.5
-Middle Eastern-Mediterranean-Restaurants,2,4
-Nightlife-Breakfast & Brunch-American (New)-Bars-Restaurants,2,4
-Bars-Dance Clubs-Nightlife-Lounges-American (New)-Restaurants,2,2.75
-Pubs-Irish-Nightlife-Bars-Restaurants,2,3.25
-Bars-Food-Breweries-Pubs-Nightlife-American (New)-Restaurants,2,3.75
-Food-Sandwiches-Coffee & Tea-Breakfast & Brunch-Restaurants,2,4.25
-Arts & Entertainment-Performing Arts-Event Planning & Services-Venues & Event Spaces,2,4
-Burgers-Breakfast & Brunch-Restaurants,2,4
-Hobby Shops-Shopping,2,4.5
-Women's Clothing-Men's Clothing-Fashion-Shopping-Shoe Stores,2,3.75
-Active Life-Yoga-Gyms-Fitness & Instruction,2,3.75
-Bars-Caribbean-Nightlife-Lounges-Restaurants,2,3.75
-Champagne Bars-Bars-Nightlife-Lounges,2,3.5
"-Food-Beer, Wine & Spirits-American (Traditional)-Restaurants",2,3.5
-Shopping-Baby Gear & Furniture,2,3.5
-Bakeries-Food-Coffee & Tea-Sandwiches-Restaurants,2,3.5
-Steakhouses-American (New)-Restaurants,2,4
-Gastropubs-American (New)-Restaurants,2,4.5
-Sushi Bars-Chinese-Restaurants,2,3.25
-Home Services-Real Estate-Apartments,2,2.5
-Health & Medical-Dentists-General Dentistry-Cosmetic Dentists,2,4.5
-Arts & Entertainment-Local Flavor,2,3.5
-Greek-Mediterranean-Sandwiches-Restaurants,2,3.75
-Bars-American (Traditional)-Nightlife-Lounges-Restaurants,2,4
-Hotels & Travel-Public Transportation-Transportation,2,3
-American (Traditional)-Sushi Bars-Restaurants,2,3.25
-Breakfast & Brunch-American (New)-Sandwiches-Restaurants,2,4.25
-Seafood-Dim Sum-Chinese-Restaurants,2,3.5
-Indian-Pakistani-Restaurants,2,4.25
-Food-Delis-Bagels-Restaurants,2,4.5
-Bakeries-Food-Coffee & Tea,2,3.75
-Event Planning & Services-Venues & Event Spaces,2,4
-Pubs-Bars-Nightlife,2,3.5
-Mongolian-Restaurants,2,2.75
"-Food-Specialty Food-Beer, Wine & Spirits",2,3.75
-Afghan-Restaurants,2,3.75
-Food-Coffee & Tea-Art Galleries-Shopping-Arts & Entertainment,2,4.25
-Steakhouses-American (Traditional)-Barbeque-Restaurants,2,3.25
-Nightlife,2,4.5
-Health & Medical-Urgent Care,2,4
-Food-Ice Cream & Frozen Yogurt-American (Traditional)-Restaurants,2,3.25
-Bridal-Shopping,2,3
-Food-Coffee & Tea-American (New)-Restaurants,2,4.25
-Cafes-Restaurants,2,3.75
-Pubs-Dive Bars-Bars-Nightlife,2,3.75
-Fish & Chips-Restaurants,2,4
-Food-Department Stores-Grocery-Fashion-Shopping,2,4
-Pet Groomers-Pet Services-Pet Stores-Pets,2,4.5
-Burgers-Bars-Nightlife-Restaurants,2,3.75
-Pet Groomers-Pet Services-Pets-Pet Stores,2,3.5
-Automotive-Parking,2,4.5
-Italian-Pizza-Sandwiches-Restaurants,2,4.5
-Tattoo-Beauty & Spas,2,4.75
-Vegetarian-Vegan-Restaurants,2,4.5
-American (New)-Diners-Restaurants,2,3.75
-Local Services-Sewing & Alterations,2,4.75
-Hotels & Travel-Airports,2,3.5
-Fast Food-Japanese-Restaurants,2,3.5
-Bakeries-Food-Delis-Restaurants,2,3.75
-Departments of Motor Vehicles-Public Services & Government,2,3.5
-Event Planning & Services-Caterers,2,4.5
-Gastropubs-Restaurants,2,3.75
-Active Life-Gun/Rifle Ranges,2,4.25
-Bars-Restaurants-Sports Bars-Nightlife,2,3.75
-Auto Repair-Automotive-Auto Parts & Supplies-Car Dealers,2,3.5
-Vegetarian-Indian-Restaurants,2,3.75
-Department Stores-Fashion-Shopping-Drugstores,2,3.75
-Landscaping-Home Services,2,3.75
-Massage-Beauty & Spas,2,4.75
-Shopping-Toy Stores,2,4.5
-Automotive-Gas & Service Stations,2,3.25
-Nightlife-Bars-Mexican-Sports Bars-Restaurants,2,3.5
-Food-Ethnic Food-Specialty Food-Japanese-Restaurants,2,4.25
-Lounges-Bars-Nightlife-Dance Clubs,2,3
-Food-Juice Bars & Smoothies-Sandwiches-Restaurants,2,4
-Active Life-Golf-Event Planning & Services-Venues & Event Spaces,2,3.75
-Thai-Buffets-Restaurants,2,3.75
-Local Services-Shoe Repair,2,4.75
-Food-Bagels-Breakfast & Brunch-Restaurants,2,4.25
-Bars-Mediterranean-Nightlife-Lounges-American (New)-Restaurants,2,4
-Food-Specialty Food-Meat Shops,2,4.5
-Fashion-Shopping-Sporting Goods-Bikes-Outdoor Gear-Sports Wear,2,4
-Active Life-Zoos,2,4
-Fashion-Shopping-Mountain Biking-Sporting Goods-Bikes-Active Life-Sports Wear,2,3.25
-American (Traditional)-Diners-Restaurants,2,3.75
-Gluten-Free-Pizza-Vegan-Restaurants,2,3.5
-Korean-Sushi Bars-Restaurants,2,4
-Food-Shopping Centers-Shopping,2,3.75
-Thrift Stores-Shopping,2,4
-Bakeries-Food-Restaurants-Sandwiches-Italian,1,4
-Sushi Bars-Japanese-Vegan-Restaurants,1,4
"-Food-Specialty Food-Meat Shops-Beer, Wine & Spirits",1,4.5
-Bars-Pool Halls-Nightlife,1,3.5
-Italian-American (New)-Mediterranean-Restaurants,1,4
-Food-Burgers-Ice Cream & Frozen Yogurt-Sandwiches-Restaurants,1,3.5
-Burgers-American (New)-Restaurants,1,4
-Active Life-Mini Golf-Arts & Entertainment-Amusement Parks-Arcades,1,2
-Arts & Entertainment-Art Galleries-Shopping-Event Planning & Services-Venues & Event Spaces,1,4.5
-Pizza-Food Stands-Restaurants,1,4.5
-Pizza-American (New)-Restaurants,1,3
-Fashion-Shopping,1,4
