,cat_counts,cat_avg_stars
-Mexican-Restaurants,312,3.5641025641025643
-Chinese-Restaurants,123,3.5853658536585367
-Pizza-Restaurants,119,3.6050420168067228
-American (Traditional)-Restaurants,107,3.2803738317757007
-Food-Coffee & Tea,100,3.9
-American (New)-Restaurants,86,3.7151162790697674
-Hotels & Travel-Event Planning & Services-Hotels,86,3.488372093023256
-Restaurants-Italian,78,3.6538461538461537
-Sandwiches-Restaurants,77,3.7987012987012987
-Food-Ice Cream & Frozen Yogurt,71,3.9295774647887325
-Burgers-Restaurants,67,3.5074626865671643
-Thai-Restaurants,57,3.789473684210526
-Food-Grocery,50,3.68
-Breakfast & Brunch-Restaurants,46,3.5217391304347827
-Italian-Pizza-Restaurants,44,3.8636363636363638
-Arts & Entertainment-Cinema,37,3.6216216216216215
-Beauty & Spas-Nail Salons,36,3.6805555555555554
-Barbeque-Restaurants,32,3.6875
-Vietnamese-Restaurants,32,3.59375
-Greek-Mediterranean-Restaurants,31,3.7580645161290325
-Steakhouses-Restaurants,30,3.6666666666666665
-Sushi Bars-Japanese-Restaurants,29,3.6551724137931036
-Tex-Mex-Restaurants,28,3.7142857142857144
-Bakeries-Food,27,3.888888888888889
-Japanese-Restaurants,26,3.480769230769231
-Department Stores-Fashion-Shopping,25,3.76
-Sushi Bars-Restaurants,23,3.630434782608696
-Delis-Sandwiches-Restaurants,22,3.6363636363636362
-Food-Donuts,21,3.5952380952380953
-Active Life-Gyms-Trainers-Fitness & Instruction,21,3.2142857142857144
-Breakfast & Brunch-American (Traditional)-Restaurants,21,3.5476190476190474
-Buffets-Chinese-Restaurants,19,3.0789473684210527
-Fast Food-Restaurants,19,3.8157894736842106
-Burgers-Fast Food-Restaurants,19,3.3157894736842106
-Asian Fusion-Restaurants,19,3.526315789473684
-Restaurants-Pizza-Italian,18,3.6944444444444446
-Active Life-Parks,18,4.194444444444445
-Bars-Nightlife-Lounges,18,3.4722222222222223
-Seafood-Restaurants,18,3.1666666666666665
-Local Flavor,17,4.088235294117647
"-Food-Beer, Wine & Spirits",17,4.205882352941177
-Restaurants,17,3.2058823529411766
-Buffets-Restaurants,17,3.235294117647059
-Food-Bagels-Delis-Restaurants,17,3.3529411764705883
-Food-Health Markets-Grocery-Specialty Food,17,4.029411764705882
-Bars-Sports Bars-Nightlife,16,3.25
-Diners-Restaurants,16,3.1875
-Bakeries-Food-Sandwiches-Restaurants,15,3.7666666666666666
-Bars-Restaurants-American (Traditional)-Sports Bars-Nightlife,15,3.1333333333333333
-Arts & Entertainment-Stadiums & Arenas,15,4.0
-Hot Dogs-Restaurants,15,3.6
-Bars-Nightlife,14,3.5
-Delis-Restaurants,14,3.607142857142857
-Shopping Centers-Shopping,14,3.3214285714285716
-Greek-Restaurants,14,3.607142857142857
-Active Life-Golf,13,3.9615384615384617
-Dive Bars-Bars-Nightlife,13,3.923076923076923
-Car Wash-Automotive,13,2.8076923076923075
-Bars-American (New)-Nightlife-Restaurants,13,3.6153846153846154
-Veterinarians-Pets,12,4.458333333333333
-Active Life-Yoga-Fitness & Instruction,11,4.5
-Latin American-Restaurants,11,4.045454545454546
MISSING,11,3.3636363636363638
-Department Stores-Grocery-Fashion-Shopping-Food-Mobile Phones,11,2.5
-Shopping-Cosmetics & Beauty Supply-Beauty & Spas,11,3.590909090909091
-Tires-Automotive,10,4.05
-Food-Grocery-Shopping-Drugstores,10,3.25
-Wine Bars-Bars-American (New)-Nightlife-Restaurants,10,3.9
"-Food-Beer, Wine & Spirits-Grocery",10,4.2
-Auto Repair-Automotive,10,4.35
-Hawaiian-Restaurants,9,3.4444444444444446
-Pets-Pet Stores,9,4.277777777777778
-Food-Juice Bars & Smoothies,9,4.111111111111111
-Vegetarian-American (New)-Mediterranean-Restaurants,9,3.9444444444444446
-Breakfast & Brunch-Diners-Restaurants,9,3.611111111111111
-Middle Eastern-Restaurants,9,3.8333333333333335
-Food-Food Delivery Services-Delis-Sandwiches-Restaurants,9,3.5
-Bars-American (New)-Nightlife-Lounges-Restaurants,8,3.75
-Libraries-Public Services & Government,8,4.3125
-Nightlife-Bars-American (Traditional)-Sports Bars-Restaurants,8,3.25
-Arts & Crafts-Shopping,8,3.4375
-Bars-American (Traditional)-Nightlife-Restaurants,8,3.5
-Skin Care-Day Spas-Massage-Beauty & Spas,8,3.625
-Active Life-Dog Parks-Parks,8,3.8125
-Arts & Entertainment-Nightlife-Music Venues,8,3.75
-Bars-American (Traditional)-Sports Bars-Nightlife-Chicken Wings-Restaurants,8,2.9375
-Active Life-Gyms-Fitness & Instruction,8,3.875
-Breakfast & Brunch-Sandwiches-Restaurants,8,3.6875
-Day Spas-Beauty & Spas,8,4.0
-Shopping-Drugstores,8,3.3125
-Local Services-Dry Cleaning & Laundry,8,4.25
-Hotels & Travel-Event Planning & Services-Venues & Event Spaces-Hotels,8,3.1875
"-Music & DVDs-Books, Mags, Music & Video-Shopping",7,4.071428571428571
-Bars-Mexican-Nightlife-Restaurants,7,3.4285714285714284
-Sporting Goods-Shopping,7,3.2857142857142856
-Food-Desserts,7,4.071428571428571
-Fast Food-Mexican-Restaurants,7,3.7142857142857144
-Food-Ethnic Food-Grocery-Specialty Food,7,4.142857142857143
-Food-Ice Cream & Frozen Yogurt-Desserts,7,4.214285714285714
-Women's Clothing-Men's Clothing-Fashion-Shopping,7,3.857142857142857
-Asian Fusion-Mongolian-Restaurants,7,3.7142857142857144
-Arts & Entertainment-Festivals,7,3.5
-Caribbean-Restaurants,7,3.9285714285714284
-Arts & Entertainment-Performing Arts,7,4.571428571428571
-Pakistani-Indian-Buffets-Restaurants,7,3.5
-Hardware Stores-Shopping-Home & Garden,7,3.9285714285714284
-Food-Bagels,7,3.642857142857143
-Burgers-American (Traditional)-Fast Food-Restaurants,7,3.2142857142857144
"-Books, Mags, Music & Video-Shopping-Bookstores",7,3.857142857142857
-Food-Farmers Market,6,3.8333333333333335
-Hotels & Travel-Airlines-Transportation,6,2.75
-Barbers-Beauty & Spas,6,4.416666666666667
-Museums-Arts & Entertainment,6,4.083333333333333
"-Used, Vintage & Consignment-Fashion-Shopping",6,3.75
-Bars-Gay Bars-Nightlife,6,3.5833333333333335
-Food-Desserts-American (Traditional)-American (New)-Restaurants,6,3.5
-Indian-Restaurants,6,3.6666666666666665
-Day Spas-Hotels & Travel-Beauty & Spas-Event Planning & Services-Hotels,6,3.9166666666666665
-Shopping-Wholesale Stores,6,4.083333333333333
-Cajun/Creole-Restaurants,6,3.8333333333333335
-Shopping-Antiques,6,3.9166666666666665
-Wine Bars-Bars-Restaurants-Nightlife-Italian,6,4.083333333333333
-French-Restaurants,6,3.9166666666666665
-Seafood-American (Traditional)-Restaurants,6,3.4166666666666665
-Hair Salons-Beauty & Spas,6,4.166666666666667
-Indian-Buffets-Restaurants,6,3.9166666666666665
-Korean-Restaurants,6,3.25
-Fast Food-Sandwiches-Restaurants,6,2.75
-Gluten-Free-Asian Fusion-Chinese-Restaurants,6,3.4166666666666665
-Health & Medical-Dentists-General Dentistry,6,4.583333333333333
-Korean-Japanese-Restaurants,6,3.4166666666666665
-Seafood-Steakhouses-Restaurants,6,3.75
-Thrift Stores-Shopping,6,3.75
-Bars-American (New)-Restaurants-Sports Bars-Nightlife,6,3.0
-Local Services-Sewing & Alterations,6,4.083333333333333
-Food,6,3.0
-Food-Gelato,6,4.416666666666667
-Shopping,6,4.0
-Seafood-Mexican-Restaurants,5,4.1
-Pubs-Bars-Nightlife-Irish-Restaurants,5,3.7
-Asian Fusion-Chinese-Restaurants,5,3.3
-Food-Specialty Food-Candy Stores,5,4.4
-Mexican-Tex-Mex-Restaurants,5,3.7
-Departments of Motor Vehicles-Public Services & Government,5,3.0
-American (Traditional)-American (New)-Restaurants,5,3.6
-Bars-Steakhouses-Nightlife-Restaurants,5,3.6
-Sporting Goods-Bikes-Shopping,5,4.3
-Pakistani-Indian-Restaurants,5,3.2
-Fashion-Shopping-Shoe Stores,5,4.0
-Hotels & Travel-Car Rental,5,2.6
-Bars-American (Traditional)-Burgers-Nightlife-Sports Bars-Restaurants,5,3.5
-American (New)-French-Restaurants,5,3.7
-Pubs-Bars-American (Traditional)-Nightlife-Restaurants,5,3.6
-Food-Coffee & Tea-Sandwiches-Restaurants,5,3.8
-Bakeries-Food-American (Traditional)-Restaurants,5,3.0
-Nightlife-Dance Clubs,5,2.8
-Local Services-Shoe Repair,5,4.5
-Wine Bars-Bars-Steakhouses-Nightlife-Restaurants,4,4.25
-Steakhouses-Sushi Bars-Japanese-Restaurants,4,3.375
-Burgers-American (Traditional)-Restaurants,4,3.625
-Food-Desserts-Ice Cream & Frozen Yogurt,4,4.125
-Filipino-Restaurants,4,3.625
-Food-Street Vendors,4,4.125
-Buffets-Salad-Restaurants,4,3.625
-Food-Bakeries-Delis-Bagels-Restaurants,4,3.375
-Art Supplies-Shopping-Arts & Crafts,4,3.625
-Department Stores-Fashion-Shopping-Drugstores,4,3.75
-American (Traditional)-Sandwiches-Restaurants,4,3.375
-Women's Clothing-Men's Clothing-Fashion-Shopping-Accessories,4,3.5
-Shopping-Home Decor-Home & Garden-Furniture Stores,4,3.625
-Wine Bars-Bars-Nightlife,4,3.875
-American (Traditional)-Fast Food-Restaurants,4,3.75
-Bars-Nightlife-Restaurants,4,3.75
-German-Restaurants,4,3.75
-Automotive-Car Dealers,4,3.125
-Active Life,4,4.375
-Vietnamese-Chinese-Restaurants,4,3.75
-Bars-Nightlife-Dance Clubs,4,3.375
-Massage-Beauty & Spas,4,4.5
-Health & Medical-Hospitals,4,3.875
-Active Life-Bowling,4,3.875
-Seafood-Restaurants-Italian,4,3.5
-Auto Repair-Automotive-Car Dealers,4,3.75
-Day Spas-Massage-Beauty & Spas,4,4.125
-Burgers-Hot Dogs-American (New)-Restaurants,4,3.875
-Arts & Crafts-Shopping-Fabric Stores,4,3.25
-Breakfast & Brunch-American (New)-Restaurants,4,4.0
-Bars-Gay Bars-Nightlife-Dance Clubs,4,3.25
-Cuban-Restaurants,4,3.625
-Pizza-Sandwiches-Restaurants,4,3.875
-Building Supplies-Home Services,4,3.375
-Delis-Fast Food-Sandwiches-Restaurants,4,4.0
-Shopping-Toy Stores,3,4.166666666666667
-Optometrists-Health & Medical,3,4.666666666666667
-American (Traditional)-Steakhouses-Restaurants,3,3.6666666666666665
-American (Traditional)-Buffets-Restaurants,3,3.5
-Food-Breweries-American (New)-Restaurants,3,3.6666666666666665
-Nightlife,3,4.5
-Auto Repair-Automotive-Tires-Auto Parts & Supplies,3,3.1666666666666665
-Mediterranean-Restaurants,3,3.1666666666666665
-Steakhouses-American (Traditional)-Restaurants,3,3.8333333333333335
-Active Life-Amusement Parks,3,3.5
-Food-Desserts-Bakeries,3,4.0
-Bakeries-Food-Breakfast & Brunch-Sandwiches-Restaurants,3,3.8333333333333335
-Food-Coffee & Tea-Breakfast & Brunch-Restaurants,3,4.333333333333333
-Food-Ice Cream & Frozen Yogurt-Coffee & Tea,3,4.333333333333333
-Chicken Wings-Restaurants,3,3.5
-Food-Breweries,3,4.0
-Caterers-Mexican-Event Planning & Services-Restaurants,3,3.1666666666666665
-Doctors-Health & Medical-Family Practice,3,3.8333333333333335
-Food-Department Stores-Grocery-Fashion-Shopping,3,4.166666666666667
-Shopping-Home & Garden-Furniture Stores,3,4.166666666666667
-Food-Donuts-Coffee & Tea,3,3.6666666666666665
-Arts & Entertainment-Performing Arts-Nightlife-Music Venues,3,4.0
-Burgers-Breakfast & Brunch-American (Traditional)-Restaurants,3,3.8333333333333335
-Seafood-Fish & Chips-Restaurants,3,3.1666666666666665
-Food-Specialty Food-Meat Shops,3,4.333333333333333
-Active Life-Hiking,3,4.666666666666667
-Breakfast & Brunch-Cafes-Restaurants,3,3.8333333333333335
-Arts & Entertainment-American (Traditional)-Arcades-Restaurants,3,3.3333333333333335
-American (Traditional)-Mexican-Restaurants,3,2.8333333333333335
-Hardware Stores-Building Supplies-Shopping-Home Services-Home & Garden,3,3.5
-Mexican-Nightlife-Restaurants,3,3.3333333333333335
-Car Wash-Automotive-Auto Detailing,3,4.166666666666667
-Cheesesteaks-Sandwiches-Restaurants,3,4.0
-Food-Breweries-American (New)-Pizza-Restaurants,3,3.6666666666666665
-Bakeries-Food-Breakfast & Brunch-Restaurants,3,4.0
-American (Traditional)-Steakhouses-Seafood-Restaurants,3,3.0
-Bars-Dance Clubs-Nightlife-Lounges,3,3.1666666666666665
-Burgers-Hot Dogs-Restaurants,3,3.6666666666666665
-Fondue-Restaurants,3,3.6666666666666665
-Active Life-Lakes,3,4.333333333333333
-American (Traditional)-Barbeque-Restaurants,3,4.0
-Food-Grocery-Shopping-Wholesale Stores,3,4.166666666666667
-Food-Burgers-Ice Cream & Frozen Yogurt-Restaurants,3,4.0
-Food-Coffee & Tea-American (New)-Restaurants,3,3.8333333333333335
-Arts & Entertainment-Art Galleries-Shopping,3,4.5
-American (New)-Sandwiches-Restaurants,3,3.6666666666666665
-Soul Food-Restaurants,3,3.5
-Nightlife-Bars-Pizza-Sports Bars-Restaurants,3,3.3333333333333335
-Shopping-Automotive-Computers-Home & Garden-Car Stereo Installation-Appliances,3,2.5
-Burgers-American (Traditional)-Hot Dogs-Restaurants,3,3.6666666666666665
-Wine Bars-Bars-Pizza-Nightlife-Restaurants,3,3.8333333333333335
-Active Life-Amusement Parks-Nightlife-Bowling,3,3.0
-American (Traditional)-Tex-Mex-Restaurants,3,3.8333333333333335
-Bakeries-Food-Desserts,3,4.333333333333333
-Shopping-Drugstores-Beauty & Spas-Food-Convenience Stores-Cosmetics & Beauty Supply,3,3.5
-Bakeries-Food-Filipino-Restaurants,3,3.5
-Fashion-Shopping-Jewelry-Accessories,3,4.333333333333333
-Nightlife-Bars-American (New)-Sports Bars-Restaurants,3,3.1666666666666665
-Pubs-Bars-Nightlife-British-Restaurants,3,3.8333333333333335
-Food-American (New)-Breweries-Restaurants,3,3.6666666666666665
-Nightlife-Restaurants,3,4.0
-Dive Bars-Bars-Mexican-Nightlife-Restaurants,3,3.1666666666666665
-Hair Removal-Beauty & Spas,3,4.333333333333333
-Soup-Vegetarian-Buffets-Restaurants,3,3.5
-Steakhouses-Barbeque-Restaurants,3,3.5
-Active Life-Horseback Riding,2,4.75
-Home Services-Heating & Air Conditioning/HVAC,2,4.75
-Mediterranean-Middle Eastern-Restaurants,2,4.0
-Japanese-Chinese-Restaurants,2,3.5
-Local Services-Computers-Shopping-IT Services & Computer Repair,2,4.25
-Bars-Dive Bars-Burgers-Nightlife-Sports Bars-Restaurants,2,3.75
-Burgers-American (Traditional)-Sandwiches-Restaurants,2,3.5
-Active Life-Resorts-Golf-Hotels & Travel,2,3.75
-American (New)-Mexican-Restaurants,2,3.5
-Seafood-Cajun/Creole-Restaurants,2,4.5
-Asian Fusion-Hawaiian-Restaurants,2,4.0
-Food-Ice Cream & Frozen Yogurt-American (Traditional)-Restaurants,2,3.25
-Hotels & Travel-Resorts-Event Planning & Services-Hotels,2,4.25
-Active Life-Sporting Goods-Bikes-Shopping-Bike Rentals,2,3.5
-Bars-Arts & Entertainment-Nightlife-Music Venues,2,4.0
-Vegetarian-American (Traditional)-Restaurants,2,3.75
-Public Services & Government,2,2.0
-Women's Clothing-Fashion-Shopping-Accessories,2,4.5
-Food-Coffee & Tea-Art Galleries-Shopping-Arts & Entertainment,2,4.25
-Skin Care-Hair Removal-Beauty & Spas,2,4.75
-Dive Bars-Bars-American (Traditional)-Nightlife-Restaurants,2,3.5
-Home Services-Apartments-Event Planning & Services-Hotels & Travel-Real Estate-Hotels,2,3.5
-Arts & Crafts-Shopping-Hobby Shops,2,3.75
-Museums-Arts & Entertainment-Performing Arts,2,4.0
-Food-Bagels-Breakfast & Brunch-Restaurants,2,4.25
-Breakfast & Brunch-American (Traditional)-Diners-Restaurants,2,3.25
-Korean-Sushi Bars-Restaurants,2,4.0
-Landscaping-Home Services,2,3.75
-Active Life-Zoos,2,4.0
-Bridal-Shopping,2,3.0
-Food-Restaurants-Italian,2,4.0
-Auto Repair-Automotive-Auto Parts & Supplies-Car Dealers,2,3.5
-Shopping-Photography Stores & Services,2,3.25
-Hotels & Travel-Airports,2,3.5
"-Books, Mags, Music & Video-Musical Instruments & Teachers-Shopping",2,4.0
-Automotive-Body Shops,2,4.75
-Bars-Nightlife-Karaoke,2,3.25
-Resorts-Hotels & Travel,2,3.0
-Food-Sandwiches-Coffee & Tea-Breakfast & Brunch-Restaurants,2,4.25
-Food-Ethnic Food-Specialty Food,2,3.75
-Arts & Entertainment-Casinos,2,2.75
-Arts & Entertainment-Performing Arts-Event Planning & Services-Venues & Event Spaces,2,4.0
-Breakfast & Brunch-American (New)-Sandwiches-Restaurants,2,4.25
-Seafood-Dim Sum-Chinese-Restaurants,2,3.5
-Local Services-Shipping Centers-Printing Services,2,3.25
-Bakeries-Food-Coffee & Tea,2,3.75
-Kitchen & Bath-Shopping-Home & Garden,2,4.0
-American (Traditional)-Sushi Bars-Restaurants,2,3.25
-Food-Delis-Bagels-Restaurants,2,4.5
-Burgers-Bars-Nightlife-Restaurants,2,3.75
-Mongolian-Restaurants,2,2.75
-Shopping Centers-Fashion-Shopping-Department Stores,2,3.0
-American (Traditional)-Chinese-Restaurants,2,3.5
-Arts & Entertainment,2,4.25
-Bars-Mediterranean-Nightlife-Lounges-American (New)-Restaurants,2,4.0
-Delis-Pizza-Restaurants,2,4.5
"-Women's Clothing-Used, Vintage & Consignment-Fashion-Shopping-Men's Clothing",2,3.0
-Italian-Pizza-Gluten-Free-Restaurants,2,3.25
-Colleges & Universities-Education,2,3.5
-Dive Bars-Bars-Nightlife-Restaurants,2,3.5
-Persian/Iranian-Restaurants,2,4.0
-Hot Dogs-Food Stands-Restaurants,2,4.0
"-Books, Mags, Music & Video-Shopping",2,3.75
-Doctors-Health & Medical-Obstetricians & Gynecologists,2,2.75
"-Videos & Video Game Rental-Books, Mags, Music & Video-Shopping",2,4.25
-Active Life-Landmarks & Historical Buildings-Public Services & Government-Parks,2,4.5
-Sporting Goods-Fashion-Shopping-Sports Wear,2,4.75
-Fast Food-Chicken Wings-Restaurants,2,4.0
-Nightlife-Bars-Sports Bars-Restaurants,2,3.25
"-Thrift Stores-Used, Vintage & Consignment-Fashion-Shopping",2,4.0
-American (Traditional)-Pizza-Restaurants,2,4.25
-Health & Medical-Dentists-General Dentistry-Cosmetic Dentists,2,4.5
-Arts & Entertainment-Professional Sports Teams,2,4.0
"-Food-Wine Bars-Bars-Nightlife-Beer, Wine & Spirits",2,4.25
-Active Life-Boating,2,4.0
-Day Spas-Beauty & Spas-Nail Salons,2,3.75
-Southern-Barbeque-Restaurants,2,3.5
-Soup-American (New)-Sandwiches-Restaurants,2,3.75
-Hair Salons-Day Spas-Beauty & Spas,2,4.75
-Pet Services-Pet Stores-Pets,2,4.0
-Bars-Music Venues-Arts & Entertainment-Pubs-Nightlife-Irish-Restaurants,2,3.75
-Burgers-Mexican-Restaurants,2,3.5
-Restaurants-Turkish,2,3.5
"-Food-Beer, Wine & Spirits-Bars-Nightlife",2,3.5
-Hawaiian-Barbeque-Restaurants,2,3.25
-Arts & Entertainment-Music Venues-Bars-Nightlife-Lounges-American (New)-Restaurants,2,3.5
-Pubs-Dive Bars-Bars-Nightlife,2,3.75
-Shopping-Home Services-Internet Service Providers-Mobile Phones-Professional Services-Electronics,2,2.5
-Bars-Dance Clubs-Nightlife-Lounges-American (New)-Restaurants,2,2.75
-Pet Groomers-Pet Services-Pets-Pet Stores,2,3.5
-Thai-Buffets-Restaurants,2,3.75
-Bars-Food-Breweries-Pubs-Nightlife-American (New)-Restaurants,2,3.75
-Arts & Entertainment-Local Flavor,2,3.5
-Tattoo-Beauty & Spas,2,4.75
-Food-Coffee & Tea-Event Planning & Services-Caterers,2,3.5
-Pubs-Irish-Nightlife-Bars-Restaurants,2,3.25
-Italian-Pizza-Sandwiches-Restaurants,2,4.5
-Sushi Bars-Chinese-Restaurants,2,3.25
-Gluten-Free-Pizza-Vegan-Restaurants,2,3.5
-Food-Ethnic Food-Specialty Food-Japanese-Restaurants,2,4.25
-Pet Groomers-Pet Services-Pet Stores-Pets,2,4.5
-Burgers-Breakfast & Brunch-Restaurants,2,4.0
-Food-Juice Bars & Smoothies-Sandwiches-Restaurants,2,4.0
-Active Life-Amateur Sports Teams,2,4.0
-Active Life-Yoga-Gyms-Fitness & Instruction,2,3.75
-Musical Instruments & Teachers-Shopping,2,4.25
-Bars-Restaurants-Sports Bars-Nightlife,2,3.75
-Gastropubs-Restaurants,2,3.75
-Nightlife-Breakfast & Brunch-American (New)-Bars-Restaurants,2,4.0
-Middle Eastern-Mediterranean-Restaurants,2,4.0
-Fashion-Shopping-Mountain Biking-Sporting Goods-Bikes-Active Life-Sports Wear,2,3.25
-Nightlife-Bars-Mexican-Sports Bars-Restaurants,2,3.5
-Vegetarian-Vegan-Restaurants,2,4.5
-Fashion-Shopping-Sporting Goods-Bikes-Outdoor Gear-Sports Wear,2,4.0
-Pet Services-Veterinarians-Pet Boarding/Pet Sitting-Pets,2,4.25
-Event Planning & Services-Caterers,2,4.5
-Active Life-Gun/Rifle Ranges,2,4.25
-American (Traditional)-Pizza-Salad-Restaurants,2,3.0
-Shopping-Mobile Phones,2,2.75
-Cards & Stationery-Arts & Crafts-Flowers & Gifts-Shopping-Event Planning & Services,2,4.0
-American (New)-Diners-Restaurants,2,3.75
-Greek-Mediterranean-Sandwiches-Restaurants,2,3.75
-Active Life-Golf-Event Planning & Services-Venues & Event Spaces,2,3.75
-Hotels & Travel-Public Transportation-Transportation,2,3.0
-American (Traditional)-Diners-Restaurants,2,3.75
-Sporting Goods-Fashion-Shopping-Shoe Stores-Sports Wear,2,3.5
-Bars-American (Traditional)-Nightlife-Lounges-Restaurants,2,4.0
-Lounges-Bars-Nightlife-Dance Clubs,2,3.0
-Fast Food-Japanese-Restaurants,2,3.5
-Vegetarian-Indian-Restaurants,2,3.75
-Automotive-Parking,2,4.5
-Shopping-Jewelry,2,4.0
-Hobby Shops-Shopping,2,4.5
-Automotive-Gas & Service Stations,2,3.25
-American (Traditional)-Chicken Wings-Restaurants,2,2.75
-Fast Food-Tex-Mex-Restaurants,2,3.75
-Home Services-Real Estate-Apartments,2,2.5
-Asian Fusion-Buffets-Chinese-Restaurants,2,3.5
-Bars-Caribbean-Nightlife-Lounges-Restaurants,2,3.75
-Indian-Pakistani-Restaurants,2,4.25
-Gastropubs-American (New)-Restaurants,2,4.5
-Champagne Bars-Bars-Nightlife-Lounges,2,3.5
-Food-Ice Cream & Frozen Yogurt-Creperies-Restaurants,2,4.25
-Bakeries-Food-Coffee & Tea-Sandwiches-Restaurants,2,3.5
"-Food-Beer, Wine & Spirits-American (Traditional)-Restaurants",2,3.5
-Active Life-Nightlife-Bowling,2,3.75
-Cafes-Restaurants,2,3.75
-Steakhouses-American (Traditional)-Barbeque-Restaurants,2,3.25
-Food-Shopping Centers-Shopping,2,3.75
-Pubs-Bars-Nightlife,2,3.5
-Event Planning & Services-Venues & Event Spaces,2,4.0
"-Food-Specialty Food-Beer, Wine & Spirits",2,3.75
-Shopping-Baby Gear & Furniture,2,3.5
-Bakeries-Food-Delis-Restaurants,2,3.75
-Home & Garden-Shopping-Home Decor-Antiques,2,3.75
-Women's Clothing-Men's Clothing-Fashion-Shopping-Shoe Stores,2,3.75
-Fish & Chips-Restaurants,2,4.0
-Steakhouses-American (New)-Restaurants,2,4.0
-Burgers-Sandwiches-Restaurants,2,3.5
-Seafood-Chinese-Restaurants,2,3.75
-Afghan-Restaurants,2,3.75
-Health & Medical-Urgent Care,2,4.0
-Steakhouses-Sushi Bars-Restaurants,2,4.0
-Cheesesteaks-Pizza-Restaurants,2,3.25
-Post Offices-Public Services & Government,2,4.0
"-Used, Vintage & Consignment-Fashion-Shopping-Discount Store",1,4.5
